day,江岸区,江汉区,硚口区,汉阳区,武昌区,青山区,洪山区,东西湖区,蔡甸区,江夏区,黄陂区,新洲区,武汉开发区,东湖开发区,东湖风景区
2月21日,4102,7085,6483,3161,7837,2787,4639,2419,1850,1434,1637,988,1465,,
2月22日,4117,7099,6500,3172,7873,2815,4648,2523,1854,1465,1669,996,1470,,
2月23日,4106,7112,6510,3449,7886,2837,4647,2531,1872,1486,1695,996,1480,,
2月24日,4195,7152,6555,3500,7942,2888,4681,2542,1890,1515,1715,1008,1488,,
2月25日,4223,7203,6692,3465,7985,2911,4719,2557,1903,1541,1744,1009,1489,,
2月26日,4239,7227,6757,3514,8032,2924,4784,2566,1924,1577,1766,1017,1497,,
2月27日,4252,7250,6782,3550,8061,2933,4870,2570,1955,1614,1771,1017,1512,,
2月28日,4275,7276,6944,3571,8144,2944,4909,2582,1966,1641,1772,1017,1516,,
2月29日,4300,7290,7239,3579,8224,2958,4999,2588,1974,1661,1775,1018,1517,,
3月1日,4318,7308,7250,3586,8242,2974,5072,2593,1981,1675,1777,1021,1518,,
3月2日,4332,7322,7264,3588,8272,2980,5079,2601,1983,1682,1778,1021,1524,,
3月3日,4347,7333,7271,3601,8301,2980,5090,2602,1990,1688,1780,1023,1534,,
3月4日,4352,7344,7305,3605,8315,2985,5109,2604,1993,1704,1780,1023,1552,,
3月5日,6521,5137,6789,4661,7431,2773,4652,2459,1415,998,2113,1070,1083,1979,474
3月6日,6532,5149,6802,4664,7443,2775,4660,2460,1416,848,2113,1070,1084,2140,475
3月7日,6539,5164,6809,4666,7445,2778,4661,2461,1416,848,2114,1071,1083,2143,476
3月8日,6546,5173,6822,4666,7450,2780,4670,2462,1416,848,2114,1071,1083,2144,476
3月9日,6546,5175,6827,4668,7453,2781,4671,2462,1416,848,2114,1071,1084,2144,478
3月10日,6546,5179,6829,4668,7454,2782,4675,2462,1416,848,2114,1072,1084,2145,478
3月11日,6547,5179,6833,4669,7454,2782,4675,2462,1416,858,2114,1072,1084,2146,479
3月12日,6547,5180,6833,4669,7455,2782,4677,2462,1416,848,2114,1072,1085,2146,479
3月13日,6549,5181,6833,4670,7455,2782,4677,2462,1416,848,2114,1072,1085,2146,479
3月14日,6549,5181,6834,4670,7455,2782,4678,2462,1416,848,2114,1072,1085,2148,479
3月15日,6549,5182,6834,4670,7456,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月16日,6549,5182,6834,4670,7457,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月17日,6549,5183,6834,4670,7457,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月18日,6549,5183,6834,4670,7457,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月19日,6549,5183,6834,4670,7457,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月20日,6549,5183,6834,4670,7457,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月21日,6549,5183,6834,4670,7457,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月22日,6549,5183,6834,4670,7457,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月23日,6549,5183,6834,4670,7458,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月24日,6549,5183,6834,4670,7458,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月25日,6549,5183,6834,4670,7458,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月26日,6549,5183,6834,4670,7458,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月27日,6549,5183,6834,4670,7458,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月28日,6549,5183,6834,4670,7458,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月29日,6549,5183,6834,4670,7458,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月30日,6549,5183,6834,4670,7458,2782,4679,2462,1416,848,2114,1072,1085,2148,480
3月31日,6549,5183,6834,4670,7458,2782,4679,2462,1417,848,2114,1072,1085,2148,480
