TIME,DIAG,DEATH,PM2.5,PM10,SO2,CO,NO2,O3,AT,DTR,RH,SUN,WIND,DOW
1,60,2,91,116,11,1.4,76,72,3.9,14.7,80,8.4,0.6,0
2,105,3,91,101,8,1.2,47,45,5.8,6.8,88,0.4,1.2,0
3,62,8,81,89,5,1,30,45,5.7,2.4,93,0.5,1.5,0
4,70,6,80,89,5,1.1,23,47,6.6,4.3,90,1.6,1.8,0
5,77,15,28,37,5,0.5,15,65,6.7,1.7,93,0.8,2.1,0
6,46,7,45,52,5,0.8,13,52,5.1,1.5,93,0.4,2.4,1
7,80,18,30,32,5,0.6,10,74,3.4,2.4,88,0,2.4,1
8,892,22,47,48,5,0.8,11,63,3.6,2.1,83,3.1,1.5,0
9,315,19,56,60,5,0.7,16,80,2.7,9.9,84,8.7,0.8,0
10,356,25,54,57,8,0.7,21,85,3.9,14.9,80,8.9,1.4,0
11,378,30,55,60,7,0.8,28,98,3.7,16,79,8.9,0.9,0
12,576,33,72,80,10,1,34,110,3.7,16.2,74,9.4,0.8,0
13,894,32,66,74,11,1,35,94,7.6,14,68,6.5,1.5,1
14,1033,41,64,69,7,0.8,33,73,9.3,4.6,76,2.7,0.7,1
15,1242,48,74,80,8,1,31,94,6.5,12.2,82,7.8,0.7,0
16,1967,49,64,73,9,0.9,36,106,5.7,16.8,82,9.3,0.5,0
17,1766,52,97,103,9,1.3,32,93,6.6,14.8,77,8.9,1.4,0
18,1501,64,36,48,5,0.7,14,53,5.5,4.7,93,0.4,3.2,0
19,1985,67,18,20,5,0.6,12,46,4.4,2.5,85,3.4,1.6,0
20,1379,63,23,26,5,0.7,17,53,5.9,4.9,83,6,0.4,1
21,1921,73,31,35,6,0.8,20,81,5.3,15.9,83,9.4,0.7,1
22,1552,67,43,45,8,1,26,60,8.3,8.3,84,2.7,1.4,0
23,1104,72,28,31,6,0.9,17,55,9.9,3.8,88,3.4,1.3,0
24,13436,216,27,32,7,1,23,52,10.3,6.7,88,6.8,0.7,0
25,3910,88,24,31,9,1.2,23,49,10.9,14.6,91,7,0.9,0
26,1923,107,30,36,7,1.2,18,46,14.3,5.5,90,1.1,2.5,0
27,1548,110,13,25,5,0.8,10,54,3.1,13.1,90,0,4.6,1
28,1690,76,11,22,6,0.6,13,78,1.8,9.7,78,9.3,0.6,1
29,1600,72,14,23,6,0.6,17,88,3.7,15.4,73,10.1,0.5,0
30,1660,116,22,26,8,0.7,23,102,5.3,16.3,72,9.5,1,0
31,615,88,30,34,12,0.8,22,86,9.7,8.7,64,8.7,0.9,0
32,319,99,41,48,10,1,29,98,7.5,17.5,77,10,0.9,0
33,314,90,50,53,7,0.9,20,81,11.3,8.8,75,6.5,1.3,0
34,541,82,43,57,9,1,20,104,10,15,82,9,0.8,1
35,406,131,35,69,13,1,23,101,14.8,8.9,59,7.9,1.7,1
36,464,56,41,57,12,1,18,103,18.7,14.3,68,7.5,1.7,0
37,370,42,75,89,7,1.2,21,100,17.2,8.3,80,8.3,1.6,0
38,383,19,44,54,6,1.2,15,62,12.3,4.7,86,1.7,3,0
39,313,28,32,45,6,0.9,17,57,10.2,5.5,87,0,2.8,0
