日期,累计确诊数,当日新增确诊数,累计死亡数,当日新增死亡数
2020/1/20,258,60,6,2
2020/1/21,363,105,9,3
2020/1/22,425,62,17,8
2020/1/23,495,70,23,6
2020/1/24,572,77,38,15
2020/1/25,618,46,45,7
2020/1/26,698,80,63,18
2020/1/27,1590,892,85,22
2020/1/28,1905,315,104,19
2020/1/29,2261,356,129,25
2020/1/30,2639,378,159,30
2020/1/31,3215,576,192,33
2020/2/1,4109,894,224,32
2020/2/2,5142,1033,265,41
2020/2/3,6384,1242,313,48
2020/2/4,8351,1967,362,49
2020/2/5,10117,1766,414,52
2020/2/6,11618,1501,478,64
2020/2/7,13603,1985,545,67
2020/2/8,14982,1379,608,63
2020/2/9,16902,1921,681,73
2020/2/10,18454,1552,748,67
2020/2/11,19558,1104,820,72
2020/2/12,32994,13436,1036,216
2020/2/13,35991,3910,1016,88
2020/2/14,37914,1923,1123,107
2020/2/15,39462,1548,1233,110
2020/2/16,41152,1690,1309,76
2020/2/17,42752,1600,1381,72
2020/2/18,44412,1660,1497,116
2020/2/19,45027,615,1585,88
2020/2/20,45346,319,1684,99
2020/2/21,45660,314,1774,90
2020/2/22,46201,541,1856,82
2020/2/23,46607,406,1987,131
2020/2/24,47071,464,2043,56
2020/2/25,47441,370,2085,42
2020/2/26,47824,383,2104,19
2020/2/27,48137,313,2132,28
2020/2/28,48557,420,2169,37
2020/2/29,49122,565,2195,26
2020/3/1,49315,193,2227,32
2020/3/2,49426,111,2252,25
2020/3/3,49540,114,2282,30
2020/3/4,49671,131,2305,23
2020/3/5,49797,126,2328,23
2020/3/6,49871,74,2349,21
2020/3/7,49912,41,2370,21
2020/3/8,49948,36,2389,19
2020/3/9,49965,17,2404,15
2020/3/10,49978,13,2423,19
2020/3/11,49986,8,2430,7
2020/3/12,49991,5,2436,6
2020/3/13,49995,4,2446,10
2020/3/14,49999,4,2456,10
2020/3/15,50003,4,2469,13
2020/3/16,50004,1,2480,11
2020/3/17,50005,1,2490,10
2020/3/18,50005,0,2496,6
2020/3/19,50005,0,2499,3
2020/3/20,50005,0,2504,5
2020/3/21,50005,0,2508,4
2020/3/22,50005,0,2517,9
2020/3/23,50006,1,2524,7
2020/3/24,50006,0,2526,2
2020/3/25,50006,0,2531,5
2020/3/26,50006,0,2535,4
2020/3/27,50006,0,2538,3
2020/3/28,50006,0,2543,5
2020/3/29,50006,0,2547,4
2020/3/30,50006,0,2548,1
2020/3/31,50006,0,2553,5
